Purple Coneflower,11.5,0.1,4,0
Purple Coneflower,15.5,0.9,7,1
Purple Millet,15,0.15,3,0
Purple Millet,18,0.65,5,1
Red-hot Poker,12.5,0.2,4,0
Red-hot Poker,17.5,0.8,7,1
Betula Nigra,13,0.15,3,0
Betula Nigra,17,0.6,5,1
Rose Campion,12,0.1,3,0
Rose Campion,17,1,7,1
Rose Moss,14,0.25,3,0
Rose Moss,19.5,0.6,5,1
Russian Sage,10.5,0.25,4,0
Russian Sage,15.5,0.65,7,1
Salvia May Night,14,0.3,3,0
Salvia May Night,19.5,0.9,6,1
Saucer Magnolia,13.5,0.2,4,0
Saucer Magnolia,18.5,0.8,7,1
Sea Holly,12.5,0.25,4,0
Sea Holly,18,0.7,5,1
Shasta Daisy,10,0.25,3,0
Shasta Daisy,16,0.6,7,1
Showy Stonecrop,14,0.15,4,0
Showy Stonecrop,17,0.9,6,1
Siberian Iris,13,0.3,4,0
Siberian Iris,17,0.8,7,1
Siebold Hosta,8,0.3,3,0
Siebold Hosta,13.5,0.75,6,1
Siebold Viburnum,10,0.1,4,0
Siebold Viburnum,16,0.95,6,1
Signet Marigold,10.5,0.3,3,0
Signet Marigold,16,0.6,7,1
Smoketree,9,0.2,3,0
Smoketree,13,0.95,7,1
Snapdragon,8.5,0.1,3,0
Snapdragon,12,0.9,5,1
Snow-in-Summer,8,0.15,3,0
Snow-in-Summer,14,0.75,7,1
Solcito Zinnia,11,0.3,3,0
Solcito Zinnia,16,0.7,5,1
Spice bush,14,0.1,4,0
Spice bush,18.5,0.6,5,1
Spider Flower,10,0.1,3,0
Spider Flower,15,0.65,5,1
Stiletto Hybrid Hosta,15.5,0.3,3,0
Stiletto Hybrid Hosta,19,0.8,6,1
Sugar Maple,13,0.15,3,0
Sugar Maple,19.5,0.9,6,1
Summer Snapdragon,12.5,0.3,3,0
Summer Snapdragon,17,0.85,6,1
Sun and Substance Hybrid Hosta,9.5,0.3,4,0
Sun and Substance Hybrid Hosta,13.5,0.75,6,1
Sunflwoer,8,0.15,3,0
Sunflwoer,13.5,1,6,1
Sweet Alyssum,8.5,0.1,4,0
Sweet Alyssum,12.5,0.6,7,1
Tall Verbena,14.5,0.15,3,0
Tall Verbena,18,0.9,7,1
Texas Sage,12,0.15,3,0
Texas Sage,15,0.9,5,1
Thread-leaf Tickseed,11.5,0.15,3,0
Thread-leaf Tickseed,15,0.9,5,1
Tuberous-rooted Begonia,15.5,0.1,4,0
Tuberous-rooted Begonia,20,1,5,1
Variegated Solomon's Seal,9.5,0.25,3,0
Variegated Solomon's Seal,13.5,0.9,6,1
Wavy-leaved Hosta,9,0.15,4,0
Wavy-leaved Hosta,13.5,0.7,5,1
Wax Begonia,11.5,0.3,3,0
Wax Begonia,18,0.65,5,1
Wheat Cockscomb,13,0.2,3,0
Wheat Cockscomb,16.5,0.65,7,1
Yarrow,15,0.3,4,0
Yarrow,18,0.95,6,1
Yellow Cosmos,13.5,0.1,3,0
Yellow Cosmos,20,0.95,5,1
Zonal Geranium,14,0.1,3,0
Zonal Geranium,17,0.8,6,1
